Process Name,Normal Max CPU (%),Last Updated
duetexpertd,2.21,26/12/25 19:19
Browser Helper (GPU),13.27,26/12/25 19:19
Browser Helper,7.75,26/12/25 19:19
Browser Helper (Renderer),2.38,26/12/25 19:19
Browser Helper (Plugin),2,26/12/25 19:19
fileproviderd,2,26/12/25 19:19
ServiceExtension,2,26/12/25 19:19
ScopedBookmarkAgent,2,26/12/25 19:19
Spotify,2.9,26/12/25 19:19
Spotify Helper,2,26/12/25 19:19
Spotify Helper (GPU),3.11,26/12/25 19:19
Spotify Helper (Renderer),5.25,26/12/25 19:19
SpotifyLauncher,2,26/12/25 19:19
crashpad_handler,2,26/12/25 19:19
GitHub Desktop,2,26/12/25 19:19
GitHub Desktop Helper (GPU),2,26/12/25 19:19
GitHub Desktop Helper,2,26/12/25 19:19
GitHub Desktop Helper (Renderer),2,26/12/25 19:19
com.apple.appkit.xpc.openAndSavePanelService,2,26/12/25 19:19
QuickLookUIService,2,26/12/25 19:19
Activity Monitor,3.66,26/12/25 19:19
Code Helper (Renderer),14.1,26/12/25 19:19
Code Helper (Plugin),2,26/12/25 19:19
zsh,2,26/12/25 19:19
pet,2,26/12/25 19:19
codex,2,26/12/25 19:19
ShortcutsViewService,2,26/12/25 19:19
callservicesd,2,26/12/25 19:19
secinitd,2,26/12/25 19:19
inputanalyticsd,2,26/12/25 19:19
AppPredictionIntentsHelperService,2,26/12/25 19:19
siriactionsd,2,26/12/25 19:19
liveactivitiesd,2,26/12/25 19:19
iconservicesagent,2,26/12/25 19:19
naturallanguaged,2,26/12/25 19:19
MTLCompilerService,2,26/12/25 19:19
businessservicesd,2,26/12/25 19:19
MessagesBlastDoorService,2,26/12/25 19:19
feedbackd,2,26/12/25 19:19
replayd,2,26/12/25 19:19
generativeexperiencesd,2,26/12/25 19:19
FeatureAccessAgent,2,26/12/25 19:19
followupd,2,26/12/25 19:19
ModelCatalogAgent,2,26/12/25 19:19
Keychain Circle Notification,2,26/12/25 19:19
cdpd,2,26/12/25 19:19
